"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 28 09:02:43 GMT 2022","Thu Jul 28 09:02:43 GMT 2022","443","tests","API petstore specification validations","TestSpecificationPetApi","","","Validation api updating pet",""
"passed","Thu Jul 28 09:02:43 GMT 2022","Thu Jul 28 09:02:43 GMT 2022","411","tests","API petstore tests","TestPetApi","","","Update pet",""
"failed","Thu Jul 28 09:02:43 GMT 2022","Thu Jul 28 09:02:43 GMT 2022","401","tests","API petstore specification validations","TestSpecificationPetApi","","","Validation api deleting pet",""
"passed","Thu Jul 28 09:02:43 GMT 2022","Thu Jul 28 09:02:43 GMT 2022","407","tests","API petstore tests","TestPetApi","","","Get pet by id",""
"passed","Thu Jul 28 09:02:43 GMT 2022","Thu Jul 28 09:02:43 GMT 2022","389","tests","API petstore specification validations","TestSpecificationPetApi","","","Validation api getting pet",""
"failed","Thu Jul 28 09:02:43 GMT 2022","Thu Jul 28 09:02:43 GMT 2022","230","tests","API petstore specification validations","TestSpecificationPetApi","","","Validation api creating pet",""
"passed","Thu Jul 28 09:02:43 GMT 2022","Thu Jul 28 09:02:43 GMT 2022","635","tests","API petstore tests","TestPetApi","","","Delete pet",""
"passed","Thu Jul 28 09:02:43 GMT 2022","Thu Jul 28 09:02:43 GMT 2022","204","tests","API petstore tests","TestPetApi","","","Create pet",""
