"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 19 16:21:09 GMT 2022","Tue Jul 19 16:21:09 GMT 2022","731","tests","API petstore tests","TestPetApi","","","Update pet",""
"passed","Tue Jul 19 16:21:09 GMT 2022","Tue Jul 19 16:21:09 GMT 2022","758","tests","API petstore specification validations","TestSpecificationPetApi","","","Validation api getting pet",""
"passed","Tue Jul 19 16:21:09 GMT 2022","Tue Jul 19 16:21:09 GMT 2022","383","tests","API petstore tests","TestPetApi","","","Create pet",""
"failed","Tue Jul 19 16:21:09 GMT 2022","Tue Jul 19 16:21:09 GMT 2022","683","tests","API petstore specification validations","TestSpecificationPetApi","","","Validation api deleting pet",""
"failed","Tue Jul 19 16:21:09 GMT 2022","Tue Jul 19 16:21:09 GMT 2022","688","tests","API petstore specification validations","TestSpecificationPetApi","","","Validation api updating pet",""
"failed","Tue Jul 19 16:21:09 GMT 2022","Tue Jul 19 16:21:09 GMT 2022","396","tests","API petstore specification validations","TestSpecificationPetApi","","","Validation api creating pet",""
"passed","Tue Jul 19 16:21:09 GMT 2022","Tue Jul 19 16:21:10 GMT 2022","1063","tests","API petstore tests","TestPetApi","","","Delete pet",""
"passed","Tue Jul 19 16:21:09 GMT 2022","Tue Jul 19 16:21:09 GMT 2022","722","tests","API petstore tests","TestPetApi","","","Get pet by id",""
